date,name,venue,capacity,Lat,Long
1/27/2014,Jay-Z,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/6/2014,Elton John,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/13/2014,Justin Timberlake,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/14/2014,Justin Timberlake,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/4/2014,Imagine Dragons,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/9/2014,Billy Joel,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/13/2014,Arcade Fire,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/26/2014,Demi Lovato,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/31/2014,Miley Cyrus,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/7/2014,Cher,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/9/2014,Muse,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/10/2014,Muse,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/21/2014,Googoosh & Ebi,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/28/2014,Michael Bublé,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/29/2014,Michael Bublé,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/9/2014,Lady Gaga,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/18/2014,Katy Perry,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/19/2014,Katy Perry,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/21/2014,Katy Perry,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/24/2014,Linkin Park,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/25/2014,30 Seconds To Mars,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/18/2014,Ed Sheeran,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/19/2014,Pitbull & Enrique Iglesias,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/20/2014,Pitbull & Enrique Iglesias,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/10/2014,Justin Timberlake[130],scotiabank arena,19800,"43.6435° N,",79.3791° W
1/20/2015,Sam Smith,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/8/2015,Ariana Grande,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/16/2015,Maroon 5,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/6/2015,Ed Sheeran,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/17/2015,Rush,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/19/2015,Rush,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/28/2015,New Kids on The Block,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/29/2015,New Kids on The Block,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/4/2015,Imagine Dragons,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/6/2015,U2,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/7/2015,U3,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/9/2015,Ariana Grande,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/15/2015,Janet Jackson,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/20/2015,Ed Sheeran,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/10/2006,Madonna[143],scotiabank arena,19800,"43.6435° N,",79.3791° W
10/6/2015,Madonna[143],scotiabank arena,19800,"43.6435° N,",79.3791° W
10/13/2015,BIGBANG,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/15/2015,Ricky Martin[144],scotiabank arena,19800,"43.6435° N,",79.3791° W
11/3/2015,The Weeknd,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/5/2015,The Weeknd,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/11/2015,G.E.M.,scotiabank arena,19800,"43.6435° N,",79.3791° W
1/16/2016,Muse[148],scotiabank arena,19800,"43.6435° N,",79.3791° W
2/2/2016,Bruce Springsteen and the E Street Band[149],scotiabank arena,19800,"43.6435° N,",79.3791° W
3/1/2016,The Who,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/22/2016,Marianas Trench,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/23/2016,Death Cab for Cutie and Metric,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/31/2016,David Gilmour[152],scotiabank arena,19800,"43.6435° N,",79.3791° W
4/1/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/3/2016,Iron Maiden[153],scotiabank arena,19800,"43.6435° N,",79.3791° W
4/13/2016,Rihanna[154],scotiabank arena,19800,"43.6435° N,",79.3791° W
